	cluster
GTEX-11EQ8-0226-SM-5EQ5G	4
GTEX-U8T8-2226-SM-3DB95	0
GTEX-1211K-2226-SM-5FQU6	4
GTEX-13NZ9-0626-SM-5IJCO	2
GTEX-Q2AG-0005-SM-5SI7F	1
GTEX-139UW-0126-SM-5KM1B	3
GTEX-P4QS-0226-SM-3NB1U	4
GTEX-PLZ4-1226-SM-2I5FE	3
GTEX-11GSO-2326-SM-5A5LX	4
GTEX-OOBJ-0006-SM-2I3F4	1
GTEX-S4P3-1526-SM-3K2AV	4
GTEX-ZUA1-0005-SM-4YCEV	1
GTEX-11EM3-2126-SM-5H11M	2
GTEX-145MF-0726-SM-5Q5BT	0
GTEX-T8EM-1126-SM-3DB7D	4
GTEX-YF7O-2426-SM-5IFJL	4
GTEX-ZGAY-0006-SM-4WWAQ	1
GTEX-13113-1826-SM-5LZW4	4
GTEX-13OVJ-0006-SM-5O98T	1
GTEX-PWOO-0006-SM-2I3E3	1
GTEX-UJMC-0005-SM-3GACU	1
GTEX-ZF3C-0005-SM-4WWAR	1
GTEX-11ZUS-0726-SM-59886	4
GTEX-ZDYS-0626-SM-5J2N5	3
GTEX-YEC3-0226-SM-5IFJO	0
GTEX-13OVJ-0626-SM-5J2O2	3
GTEX-ZYVF-0226-SM-5GIEG	4
GTEX-Y5V6-0005-SM-4V6FD	1
GTEX-WOFM-0005-SM-3MJF3	1
GTEX-13PL6-0326-SM-5IJCP	2
GTEX-12ZZW-0926-SM-5LZUD	0
GTEX-P4QS-1626-SM-2S1NH	2
GTEX-13QJ3-1026-SM-5QGQU	0
GTEX-11ZTT-0626-SM-5EQLM	0
GTEX-ZE9C-2826-SM-5S2MO	4
GTEX-1192W-0126-SM-5EGGS	3
GTEX-139T8-0006-SM-5NQ6V	1
GTEX-U4B1-0006-SM-3DB8E	1
GTEX-OXRK-0626-SM-2HMJ5	3
GTEX-13FXS-0326-SM-5K7TV	2
GTEX-13NYB-0726-SM-5MR4J	3
GTEX-XBED-0826-SM-47JYC	0
GTEX-OXRL-2626-SM-2I3F1	3
GTEX-OHPN-0005-SM-2YUML	1
GTEX-13RTJ-2526-SM-5S2Q3	4
GTEX-Z9EW-0226-SM-5CVM7	3
GTEX-ZYY3-0226-SM-5E45M	4
GTEX-XYKS-2426-SM-4AT43	2
GTEX-ZVE2-0006-SM-51MRW	1
GTEX-139T8-0526-SM-5KLZL	2
GTEX-XOT4-0005-SM-4B64S	1
